6370.76270 16.879 0.010
6374.88098 16.994 0.011
6378.79736 16.912 0.010
6381.86729 17.106 0.010
6387.87479 16.945 0.011
6390.85085 16.945 0.011
6395.73040 17.010 0.010
6398.72275 17.145 0.011
6401.77444 16.890 0.009
6404.74873 16.948 0.011
6408.73364 17.220 0.031
6416.92394 17.066 0.011
6419.75442 17.214 0.013
6422.76715 16.922 0.010
6426.67346 16.919 0.008
6431.80625 16.924 0.011
6433.85653 16.992 0.011
6436.62401 16.985 0.013
6441.89338 16.931 0.015
6444.93778 17.279 0.020
6447.58618 17.055 0.011
6448.89555 17.050 0.017
6450.83327 17.017 0.011
6452.83941 16.906 0.009
6456.60753 17.177 0.010
6458.76306 17.006 0.010
6460.85123 16.993 0.010
6463.63759 17.160 0.014
6468.66159 16.900 0.012
6472.82065 16.989 0.016
6473.63828 17.041 0.010
6475.57685 17.032 0.011
6477.56627 17.163 0.012
6480.59359 16.973 0.012
6484.51327 16.915 0.011
6487.50386 16.969 0.011
6498.62305 17.199 0.014
6504.68587 17.092 0.013
6508.55962 17.090 0.013
6511.48174 17.176 0.013
6516.60686 17.031 0.010
6523.68937 16.945 0.016
6531.56923 17.267 0.014
6536.62410 16.965 0.011
6545.54681 16.969 0.010
6559.49785 16.920 0.012
6565.53067 17.092 0.013
6572.52877 17.007 0.016
6576.50704 17.109 0.024
6576.50864 17.120 0.023
6576.57514 16.980 0.026
6878.55816 16.943 0.018
7233.48044 17.086 0.020
